,total,moe,male_total,male_moe,female_total,female_moe,earnings,earnings_moe,male_earnings,male_earnings_moe,female_earnings,female_earnings_moe
management,11927449,32908,62.5,0.1,37.5,0.1,70681,178,79607,296,58873,224
operations_finance,5514077,26447,46.3,0.1,53.7,0.1,60591,130,71638,214,53360,126
computers,3143643,20628,74.3,0.2,25.7,0.2,77108,161,80669,177,69733,356
engineering,2261502,17615,86.6,0.2,13.4,0.2,76999,179,79285,352,65900,390
science,951952,9262,58.1,0.3,41.9,0.3,63037,301,67557,539,57821,517
social_services,1771522,11231,38.8,0.3,61.2,0.3,42846,114,44417,211,42036,106
law,1363423,10052,51.2,0.3,48.8,0.3,85163,423,117882,994,60593,427
education,5033274,33783,29.4,0.1,70.6,0.1,48845,86,56483,175,45836,99
media_entertainment,1594532,9513,57.8,0.3,42.2,0.3,51233,152,54320,227,46670,286
health_practitioner,5626149,21812,28.7,0.1,71.3,0.1,61489,128,81983,403,56854,151
health_support,2118374,12386,13.9,0.2,86.1,0.2,27334,62,31192,199,26962,64
protective,2505945,14098,80.6,0.2,19.4,0.2,50309,170,52577,181,40979,240
food_preparation,3271541,31250,53.1,0.2,46.9,0.2,21304,52,22719,126,19842,75
building_maintenance,3198680,20217,67.2,0.2,32.8,0.2,25563,68,28570,135,21009,73
service,2412835,16994,25.7,0.2,74.3,0.2,24061,103,31059,167,22123,71
sales_retail,9737512,25350,59.4,0.1,40.6,0.1,41975,111,50404,125,31970,88
admin_support,13346990,29284,27.4,0.1,72.6,0.1,35257,46,39739,157,34136,41
farm_fish_forest,601256,7500,84.2,0.3,15.8,0.3,24881,194,25905,151,19251,289
construction,4709696,23179,97.6,0.1,2.4,0.1,40504,101,40583,101,36057,775
maintenance,3859023,13271,96.3,0.1,3.7,0.1,44480,119,44600,119,41270,495
production,6589236,19639,74,0.1,26,0.1,35746,89,40033,92,26688,69
transportation,3484667,15046,90.2,0.1,9.8,0.1,40711,100,41612,109,30941,209